src,ra_deg,dec_deg,mjd
FRB121102,83.0375,33.08694444444445,58441.03057
FRB121102,83.0375,33.08694444444445,58441.40194
FRB121102,83.0375,33.08694444444445,58450.90331
FRB121102,83.0375,33.08694444444445,58450.97455
FRB121102,83.0375,33.08694444444445,58714.25543
FRB121102,83.0375,33.08694444444445,58724.0
FRB121102,83.0375,33.08694444444445,58725.0
FRB121102,83.0375,33.08694444444445,58726.0
FRB121102,83.0375,33.08694444444445,58729.0
FRB121102,83.0375,33.08694444444445,58732.00609
FRB121102,83.0375,33.08694444444445,58732.00609
FRB121102,83.0375,33.08694444444445,58732.72772
FRB121102,83.0375,33.08694444444445,58736.14857000001
FRB121102,83.0375,33.08694444444445,58736.16567
FRB121102,83.0375,33.08694444444445,58736.16568
FRB121102,83.0375,33.08694444444445,58736.16692999999
FRB121102,83.0375,33.08694444444445,58736.18483
FRB121102,83.0375,33.08694444444445,58736.20021
FRB121102,83.0375,33.08694444444445,58736.21157000001
FRB121102,83.0375,33.08694444444445,58736.21167
FRB121102,83.0375,33.08694444444445,58736.23521
FRB121102,83.0375,33.08694444444445,58736.24065
FRB121102,83.0375,33.08694444444445,58736.24787000001
FRB121102,83.0375,33.08694444444445,58736.25421
